Dataset,Agent,PSNR,SSIM,LPIPS,BPP
kodak,NIC_Q5,34.567622440085124,0.9010793567526276,0.08195735514163971,3.9296875
kodak,ScaleHyperprior_q1,29.46413401029083,0.7898747450749815,0.27971118688583374,0.103515625
kodak,ScaleHyperprior_q3,32.192698530919735,0.842249254468017,0.1944534033536911,0.21240234375
kodak,ScaleHyperprior_q5,35.091832631465394,0.90095006473154,0.09030699729919434,0.462890625
kodak,GAN,25.472550759267207,0.7694702763985357,0.3731580972671509,6.0
kodak,SD_FP16,28.88968960087933,0.7932797849613228,0.036608804017305374,2.0
kodak,SD_INT8,17.816278906770012,0.6026304908014316,0.22886274755001068,0.5
kodak,JPEG_Q30,26.462703557788302,0.8182622230649766,0.13492876291275024,1.0889892578125
kodak,JPEG_Q50,27.903018561306425,0.8616512959175288,0.07175502181053162,1.498779296875
kodak,JPEG_Q70,29.661050019208382,0.8990461658642518,0.03796873614192009,2.058349609375
kodak,JPEG_Q90,34.459150758761965,0.9581090529160545,0.01386395376175642,3.8055419921875
kodak,PNG,inf,1.0,0.0,17.8782958984375
kodak,WebP,30.4242716152231,0.9146100095555499,0.06240766495466232,1.5732421875
kodak,AE,12.731282515763432,0.17620898562449852,0.8567979335784912,64.0
kodak,VAE,12.409488100773627,0.15491042316234113,0.8382687568664551,256.0
kodak,NIC_Q1,22.926961916355143,0.5639953748991944,0.54376220703125,1.359375
kodak,NIC_Q3,25.014936460597976,0.7194897739739822,0.3459453284740448,3.42578125
kodak,NIC_Q5,27.838309155201195,0.8559929212726267,0.11577071249485016,8.40234375
kodak,ScaleHyperprior_q1,23.855408707828612,0.6216920170823846,0.5128479599952698,0.216796875
kodak,ScaleHyperprior_q3,26.925947124011664,0.7945549704394262,0.2570929527282715,0.587890625
kodak,ScaleHyperprior_q5,30.23604255852915,0.9056406118000867,0.050178587436676025,1.25439453125
kodak,GAN,21.69966697563929,0.496275491199492,0.6058609485626221,6.0
kodak,SD_FP16,21.212489148013432,0.4878370763297788,0.11995948851108551,2.0
kodak,SD_INT8,17.67430465221598,0.30760970161439577,0.35313040018081665,0.5
kodak,JPEG_Q30,26.71092530648016,0.8208879656339726,0.10027390718460083,0.9755859375
kodak,JPEG_Q50,27.87000432806158,0.8599725999803947,0.05674252286553383,1.3289794921875
kodak,JPEG_Q70,29.201894875098926,0.8932262234246315,0.030747242271900177,1.8077392578125
kodak,JPEG_Q90,32.76993126686895,0.9479321634935473,0.01065092533826828,3.3970947265625
kodak,PNG,inf,1.0,0.0,16.3863525390625
kodak,WebP,29.66294852324328,0.8954061082382334,0.03846411779522896,1.236083984375
kodak,AE,11.908825556956158,0.20594623651794955,0.7788047790527344,64.0
kodak,VAE,11.606785169690728,0.17474363227816583,0.7583790421485901,256.0
kodak,NIC_Q1,23.821181950856356,0.6265247604493237,0.41921329498291016,1.28515625
kodak,NIC_Q3,26.19380093362941,0.7675460812080788,0.2639423906803131,3.1484375
kodak,NIC_Q5,28.999319346703135,0.878627191947032,0.08097466081380844,7.23828125
kodak,ScaleHyperprior_q1,24.56430368427824,0.6575293155309867,0.4087735414505005,0.18896484375
kodak,ScaleHyperprior_q3,27.607762235217482,0.8081730550237828,0.21211612224578857,0.4794921875
kodak,ScaleHyperprior_q5,30.695897433314045,0.9068465708713211,0.05573021247982979,1.04833984375
kodak,GAN,23.35560907154798,0.6069125291150476,0.4597269892692566,6.0
kodak,SD_FP16,22.579719574531666,0.5856777130346268,0.08468715101480484,2.0
kodak,SD_INT8,18.461184025691516,0.40753327549632107,0.22242537140846252,0.5
kodak,JPEG_Q30,30.235655201529287,0.8516375296763741,0.0720321387052536,0.6824951171875
kodak,JPEG_Q50,31.61599221577339,0.8830442201089289,0.03744548559188843,0.9229736328125
kodak,JPEG_Q70,33.14048750120341,0.9070925186191928,0.018710996955633163,1.2222900390625
kodak,JPEG_Q90,36.225021868963225,0.9471697610169354,0.005321809556335211,2.23779296875
kodak,PNG,inf,1.0,0.0,12.4964599609375
kodak,WebP,32.80957561754954,0.9023776417829414,0.04004374518990517,0.5615234375
kodak,AE,9.495996888450565,0.387966302419314,0.7411518692970276,64.0
kodak,VAE,9.391957021516953,0.24634089741175635,0.7216567397117615,256.0
kodak,NIC_Q1,28.43752829165382,0.8260836797846309,0.1837778240442276,1.0234375
kodak,NIC_Q3,31.03673036155335,0.8788469149051017,0.1242603212594986,2.03515625
kodak,NIC_Q5,33.5119315595253,0.9166327801777969,0.07045886665582657,4.18359375
kodak,ScaleHyperprior_q1,28.677221764582946,0.8322401248688283,0.19380158185958862,0.126953125
kodak,ScaleHyperprior_q3,31.388104964732854,0.882862435838244,0.12757886946201324,0.2529296875
kodak,ScaleHyperprior_q5,34.170048027963695,0.9237178818749898,0.06292162835597992,0.53369140625
kodak,GAN,23.879874900603735,0.7915343893941071,0.32424861192703247,6.0
kodak,SD_FP16,28.473389523724016,0.8265914897657508,0.03281467407941818,2.0
kodak,SD_INT8,18.02213810879211,0.6527110003403034,0.16453874111175537,0.5
kodak,JPEG_Q30,31.628570819743572,0.8439464871273751,0.11129990220069885,0.6298828125
kodak,JPEG_Q50,32.99068325116427,0.8807311791009078,0.05986912548542023,0.8570556640625
kodak,JPEG_Q70,34.428878367933876,0.9117366623737294,0.03241390734910965,1.170654296875
kodak,JPEG_Q90,38.19752191056325,0.9573590058039367,0.009080502204596996,2.229248046875
kodak,PNG,inf,1.0,0.0,12.9730224609375
kodak,WebP,33.44100053272562,0.8889865322815317,0.05417118966579437,0.625
kodak,AE,14.06076398279648,0.46976819293835015,0.6208549737930298,64.0
kodak,VAE,13.71915181781215,0.34735967660387207,0.6241523027420044,256.0
kodak,NIC_Q1,29.05218326754146,0.7081982109430475,0.35390353202819824,0.74609375
kodak,NIC_Q3,31.138609067785627,0.7944104443171813,0.25138914585113525,1.7109375
kodak,NIC_Q5,33.79263763479525,0.8847200242144839,0.11139775812625885,4.15234375
kodak,ScaleHyperprior_q1,28.86795921005534,0.7031642840967836,0.37313684821128845,0.08056640625
kodak,ScaleHyperprior_q3,31.43352519450935,0.8052656236607788,0.24789708852767944,0.20361328125
kodak,ScaleHyperprior_q5,34.66699885040281,0.9004309928157279,0.09812689572572708,0.53173828125
kodak,GAN,28.74222591407602,0.7205386823574007,0.37391895055770874,6.0
kodak,SD_FP16,28.778828306377157,0.7166678608296609,0.04128303751349449,2.0
kodak,SD_INT8,19.791021678053117,0.5453411111928247,0.19082042574882507,0.5
kodak,JPEG_Q30,30.87455012986244,0.8917177855610231,0.06802576780319214,0.7869873046875
kodak,JPEG_Q50,32.46508542981954,0.922003852052331,0.0391136072576046,1.043701171875
kodak,JPEG_Q70,34.10894044981829,0.9441174510624218,0.01976400427520275,1.3861083984375
kodak,JPEG_Q90,38.042711701207395,0.9727253385349742,0.005741587374359369,2.4954833984375
kodak,PNG,inf,1.0,0.0,13.863037109375
kodak,WebP,33.38796751704177,0.9263382532494663,0.047959037125110626,0.73828125
kodak,AE,11.006008521441938,0.24070030014667418,0.7153391242027283,64.0
kodak,VAE,10.797225692689281,0.20860413363852895,0.6936018466949463,256.0
kodak,NIC_Q1,27.3564595229426,0.7632320550340315,0.2522715628147125,1.03125
kodak,NIC_Q3,29.993917483602072,0.8578809336633695,0.14434628188610077,2.29296875
kodak,NIC_Q5,33.36589404582472,0.9303269720111581,0.05482025071978569,4.9375
kodak,ScaleHyperprior_q1,27.62773790873837,0.7730282213904068,0.24876254796981812,0.13623046875
kodak,ScaleHyperprior_q3,30.875746067029944,0.8731463502353275,0.13241760432720184,0.314453125
kodak,ScaleHyperprior_q5,34.43042048159582,0.9381910916251558,0.04965005815029144,0.6513671875
kodak,GAN,25.23603722520633,0.714253152205504,0.4004210829734802,6.0
kodak,SD_FP16,26.77195688286007,0.7765453572745571,0.049864400178194046,2.0
kodak,SD_INT8,20.531653355291894,0.5657524626626361,0.20448967814445496,0.5
